Month,AustralianPort,ForeignPort,Country,Passengers_In,Freight_In_(tonnes),Mail_In_(tonnes),Passengers_Out,Freight_Out_(tonnes),Mail_Out_(tonnes),Passengers_Total,Freight_Total_(tonnes),Mail_Total_(tonnes),Year,Month_num
May-85,Perth,Bangkok,Thailand,560,17.293,0,993,17.238,0.072,1553,34.531,0.072,1985,5
May-85,Perth,Bombay,India,374,4.831,0,541,0.251,0.193,915,5.082,0.193,1985,5
May-85,Perth,Denpasar,Indonesia,2781,2.244,0,3329,3.223,0.072,6110,5.467,0.072,1985,5
May-85,Perth,Frankfurt,Germany,60,0.82,0,110,0.432,0.557,170,1.252,0.557,1985,5
May-85,Perth,Harare,Zimbabwe,185,2.413,0,253,1.856,0.094,438,4.269,0.094,1985,5
May-85,Perth,Hong Kong,Hong Kong,1885,27.491,0,1815,156.09,0.191,3700,183.581,0.191,1985,5
May-85,Perth,Honolulu,USA,0,0,0,54,0,0.002,54,0,0.002,1985,5
May-85,Perth,Jakarta,Indonesia,536,45.553,0,383,48.655,0,919,94.208,0,1985,5
May-85,Perth,Johannesburg,South Africa,399,14.27,0,437,5.334,0,836,19.604,0,1985,5
May-85,Perth,Kuala Lumpur,Malaysia,1706,77.567,0.13,2208,145.057,0.2,3914,222.624,0.33,1985,5
May-85,Perth,London,UK,1790,9.023,3.937,2597,10.092,3.508,4387,19.115,7.445,1985,5
May-85,Perth,Mauritius,Mauritius,118,0.391,0,112,0.288,0,230,0.679,0,1985,5
May-85,Perth,Muscat,Oman,4,0,0,8,1.4,0,12,1.4,0,1985,5
May-85,Perth,Rome,Italy,130,0.101,0,338,0.059,0.347,468,0.16,0.347,1985,5
May-85,Perth,San Francisco,USA,0,0,0,124,0,1.661,124,0,1.661,1985,5
May-85,Perth,Singapore,Singapore,5468,242.608,1.927,7020,745.717,0.585,12488,988.325,2.512,1985,5
May-85,Perth,Tokyo,Japan,70,2.833,0,9,19.247,0.206,79,22.08,0.206,1985,5
May-85,Port Hedland,Denpasar,Indonesia,146,0,0,176,0,0,322,0,0,1985,5
May-85,Sydney,Abu Dhabi,United Arab Emirates,158,0,0,247,70.1,0,405,70.1,0,1985,5
May-85,Sydney,Amsterdam,Netherlands,419,51.358,0.031,785,2.893,3.045,1204,54.251,3.076,1985,5
May-85,Sydney,Apia,Western Samoa,17,0.015,0,349,3.545,0,366,3.56,0,1985,5
May-85,Sydney,Athens,Greece,1137,65.153,1.069,2340,4.231,1.656,3477,69.384,2.725,1985,5
May-85,Sydney,Auckland,New Zealand,23589,1387.663,14.544,22076,944.865,53.545,45665,2332.528,68.089,1985,5
May-85,Sydney,Bahrain,Bahrain,153,1.439,0.421,90,42.178,1.996,243,43.617,2.417,1985,5
May-85,Sydney,Bangkok,Thailand,2739,118.317,0.633,2535,63.67,1.373,5274,181.987,2.006,1985,5
May-85,Sydney,Beijing,China,582,6.027,0.086,487,3.656,0.01,1069,9.683,0.096,1985,5
May-85,Sydney,Belgrade,Yugoslavia,806,64.791,0.884,1427,7.632,0.135,2233,72.423,1.019,1985,5
May-85,Sydney,Bombay,India,786,57.662,0.065,1056,12.825,1.565,1842,70.487,1.63,1985,5
May-85,Sydney,Christchurch,New Zealand,7061,320.243,0.925,6051,92.2,2.821,13112,412.443,3.746,1985,5
May-85,Sydney,Colombo,Sri Lanka,174,1.054,0,169,2.812,0,343,3.866,0,1985,5
May-85,Sydney,Denpasar,Indonesia,3068,84.948,0,2682,4.881,0.035,5750,89.829,0.035,1985,5
May-85,Sydney,Dubai,United Arab Emirates,75,13.451,0,93,98.428,0,168,111.879,0,1985,5
May-85,Sydney,Frankfurt,Germany,729,172.112,2.419,1229,64.51,7.009,1958,236.622,9.428,1985,5
May-85,Sydney,Guangzhou,China,102,0.247,0,108,0.113,0,210,0.36,0,1985,5
May-85,Sydney,Harare,Zimbabwe,349,4.991,0.406,415,7.825,0.135,764,12.816,0.541,1985,5
May-85,Sydney,Hong Kong,Hong Kong,9497,233.414,1.945,7777,490.069,6.269,17274,723.483,8.214,1985,5
May-85,Sydney,Honolulu,USA,5987,71.561,0.007,5815,78.755,0.784,11802,150.316,0.791,1985,5
May-85,Sydney,Houston,USA,61,0,0,0,13.33,0,61,13.33,0,1985,5
May-85,Sydney,Jakarta,Indonesia,1459,109.444,0.422,2424,90.329,0.611,3883,199.773,1.033,1985,5
May-85,Sydney,Johannesburg,South Africa,962,35.95,0,732,24.976,0,1694,60.926,0,1985,5
May-85,Sydney,Kuala Lumpur,Malaysia,2114,154.439,1.42,3332,278.517,0.744,5446,432.956,2.164,1985,5
May-85,Sydney,London,UK,4057,528.842,1.615,5810,82.592,24.978,9867,611.434,26.593,1985,5
May-85,Sydney,Los Angeles,USA,4946,1078.413,0,6254,301.692,0.365,11200,1380.105,0.365,1985,5
May-85,Sydney,Manchester,UK,334,12.839,0.942,432,0.654,0.216,766,13.493,1.158,1985,5
May-85,Sydney,Manila,Philippines,2570,215.826,0.262,2663,92.011,1.061,5233,307.837,1.323,1985,5
May-85,Sydney,Mauritius,Mauritius,180,8.96,0,130,0.667,0,310,9.627,0,1985,5
May-85,Sydney,Muscat,Oman,61,0.7,0,152,8.8,0,213,9.5,0,1985,5
May-85,Sydney,Nadi,Fiji,5631,33.165,0,6233,326.514,0,11864,359.679,0,1985,5
May-85,Sydney,Nauru,Nauru,62,0.145,0,68,2.583,0,130,2.728,0,1985,5
May-85,Sydney,New York,USA,167,9.264,0,0,0,0,167,9.264,0,1985,5
May-85,Sydney,Noumea,New Caledonia,1034,36.748,0.139,1059,97.843,0.296,2093,134.591,0.435,1985,5
May-85,Sydney,Papeete,Tahiti,1228,30.02,0.164,1833,32.7,1.469,3061,62.72,1.633,1985,5
May-85,Sydney,Paris,France,262,1.383,0,513,66.379,0,775,67.762,0,1985,5
May-85,Sydney,Port Moresby,Papua New Guinea,1782,24.093,2.202,1738,117.96,16.802,3520,142.053,19.004,1985,5
May-85,Sydney,Port Vila,Vanuatu,944,0.837,0,689,9.891,0,1633,10.728,0,1985,5
May-85,Sydney,Rome,Italy,990,84.184,2.625,1942,10.014,1.597,2932,94.198,4.222,1985,5
May-85,Sydney,San Francisco,USA,2492,196.081,0.09,2845,62.569,27.668,5337,258.65,27.758,1985,5
May-85,Sydney,Singapore,Singapore,10466,376.336,6.205,12392,619.906,6.807,22858,996.242,13.012,1985,5
May-85,Sydney,Tokyo,Japan,6064,424.375,19.645,8881,339.648,10.558,14945,764.023,30.203,1985,5
May-85,Sydney,Vancouver,Canada,907,33.104,0,1439,59.343,1.183,2346,92.447,1.183,1985,5
May-85,Sydney,Wellington,New Zealand,3319,152.183,4.414,3029,97.575,6.888,6348,249.758,11.302,1985,5
May-85,Townsville,Auckland,New Zealand,725,11.596,0,354,0.696,0,1079,12.292,0,1985,5
May-85,Townsville,Bahrain,Bahrain,1,0,0,1,0,0,2,0,0,1985,5
May-85,Townsville,Frankfurt,Germany,0,0,0,69,0.001,0,69,0.001,0,1985,5
May-85,Townsville,London,UK,163,0,0,145,0.043,0,308,0.043,0,1985,5
May-85,Townsville,Rome,Italy,0,0,0,47,0,0,47,0,0,1985,5
May-85,Townsville,Singapore,Singapore,257,0.793,0,276,14.503,0,533,15.296,0,1985,5
Jun-85,Adelaide,Abu Dhabi,United Arab Emirates,2,0,0,0,0,0,2,0,0,1985,6
Jun-85,Adelaide,Auckland,New Zealand,1244,67.713,0.247,737,57.22,1.318,1981,124.933,1.565,1985,6
Jun-85,Adelaide,Bahrain,Bahrain,10,0,0,9,0.004,0,19,0.004,0,1985,6
Jun-85,Adelaide,Bombay,India,0,0,0,3,0,0,3,0,0,1985,6
Jun-85,Adelaide,Frankfurt,Germany,0,0,0,71,8.04,0.428,71,8.04,0.428,1985,6
Jun-85,Adelaide,London,UK,1162,2.993,0,1685,19.592,2.366,2847,22.585,2.366,1985,6
Jun-85,Adelaide,Muscat,Oman,3,0,0,4,0,0,7,0,0,1985,6
Jun-85,Adelaide,Rome,Italy,0,0,0,232,0.004,0,232,0.004,0,1985,6
Jun-85,Adelaide,Singapore,Singapore,1883,52.772,0,2164,145.855,0.063,4047,198.627,0.063,1985,6
Jun-85,Brisbane,Abu Dhabi,United Arab Emirates,0,0,0,19,0,0,19,0,0,1985,6
Jun-85,Brisbane,Auckland,New Zealand,7744,205.697,1.497,7826,74.588,3.052,15570,280.285,4.549,1985,6
Jun-85,Brisbane,Bahrain,Bahrain,12,0.084,0,3,0.128,0,15,0.212,0,1985,6
Jun-85,Brisbane,Bangkok,Thailand,420,12.861,0,678,8.347,0,1098,21.208,0,1985,6
Jun-85,Brisbane,Bombay,India,8,1.1,0,6,0.103,0.077,14,1.203,0.077,1985,6
Jun-85,Brisbane,Christchurch,New Zealand,3141,87.637,0.343,3073,40.069,0,6214,127.706,0.343,1985,6
Jun-85,Brisbane,Frankfurt,Germany,64,0,0,84,0.057,0.604,148,0.057,0.604,1985,6
Jun-85,Brisbane,Hong Kong,Hong Kong,1195,9.081,0,1249,42.64,0.119,2444,51.721,0.119,1985,6
Jun-85,Brisbane,Honiara,Solomon Islands,346,1.134,0,467,11.034,0,813,12.168,0,1985,6
Jun-85,Brisbane,Honolulu,USA,340,8.283,0,399,1.896,0.154,739,10.179,0.154,1985,6
Jun-85,Brisbane,London,UK,1599,13.715,0,1884,1.08,3.121,3483,14.795,3.121,1985,6
Jun-85,Brisbane,Los Angeles,USA,108,0.47,0,7,0,0,115,0.47,0,1985,6
Jun-85,Brisbane,Manila,Philippines,771,8.928,0,781,31.198,0.172,1552,40.126,0.172,1985,6
Jun-85,Brisbane,Muscat,Oman,9,0,0,0,0,0,9,0,0,1985,6
Jun-85,Brisbane,Nadi,Fiji,656,0.3,0,845,6.954,0,1501,7.254,0,1985,6
Jun-85,Brisbane,Noumea,New Caledonia,126,0.059,0,219,2.335,0,345,2.394,0,1985,6
Jun-85,Brisbane,Papeete,Tahiti,0,0,0,7,0,0,7,0,0,1985,6
Jun-85,Brisbane,Port Moresby,Papua New Guinea,1147,6.583,0.611,1816,57.783,3.997,2963,64.366,4.608,1985,6
Jun-85,Brisbane,Port Vila,Vanuatu,155,0.796,0,195,2.215,0,350,3.011,0,1985,6
Jun-85,Brisbane,Rome,Italy,20,0,0,116,0,0.09,136,0,0.09,1985,6
Jun-85,Brisbane,San Francisco,USA,366,0.095,0,528,10.813,1.391,894,10.908,1.391,1985,6
Jun-85,Brisbane,Singapore,Singapore,1586,65.893,0,1964,143.44,0.179,3550,209.333,0.179,1985,6
Jun-85,Brisbane,Suva,Fiji,65,0.824,0,80,2.565,0,145,3.389,0,1985,6
Jun-85,Brisbane,Tokyo,Japan,355,5.022,0,349,5.31,0.303,704,10.332,0.303,1985,6
Jun-85,Brisbane,Vancouver,Canada,153,32.78,0,275,1.377,0.391,428,34.157,0.391,1985,6
Jun-85,Brisbane,Wellington,New Zealand,1104,18.36,0.3,949,8.565,0.445,2053,26.925,0.745,1985,6
Jun-85,Cairns,Honolulu,USA,531,0.924,0,425,1.931,0,956,2.855,0,1985,6
Jun-85,Cairns,Los Angeles,USA,220,0,0,0,0,0,220,0,0,1985,6
Jun-85,Cairns,Port Moresby,Papua New Guinea,624,1.446,0,702,24.759,0,1326,26.205,0,1985,6
Jun-85,Cairns,San Francisco,USA,675,0,0,327,0.151,0,1002,0.151,0,1985,6
Jun-85,Cairns,Vancouver,Canada,177,0.007,0,140,0.001,0,317,0.008,0,1985,6
Jun-85,Darwin,Auckland,New Zealand,280,3.558,0,220,0.604,0.036,500,4.162,0.036,1985,6
Jun-85,Darwin,Bahrain,Bahrain,2,0,0,0,0,0,2,0,0,1985,6
Jun-85,Darwin,Bandar Seri Begawan,Brunei,194,0.105,0,347,12.885,0,541,12.99,0,1985,6
Jun-85,Darwin,Bombay,India,0,0,0,1,0,0,1,0,0,1985,6
Jun-85,Darwin,Denpasar,Indonesia,613,1.958,0,816,0,0,1429,1.958,0,1985,6
Jun-85,Darwin,Frankfurt,Germany,0,0,0,29,0.048,0.014,29,0.048,0.014,1985,6
Jun-85,Darwin,Jakarta,Indonesia,33,0.147,0,134,0,0,167,0.147,0,1985,6
Jun-85,Darwin,London,UK,146,0,0,154,0,0.074,300,0,0.074,1985,6
Jun-85,Darwin,Rome,Italy,0,0,0,55,0,0.004,55,0,0.004,1985,6
Jun-85,Darwin,Singapore,Singapore,515,4.328,0.004,782,48.52,0.025,1297,52.848,0.029,1985,6
Jun-85,Hobart,Christchurch,New Zealand,657,10.463,0.184,559,0.077,0.018,1216,10.54,0.202,1985,6
Jun-85,Melbourne,Abu Dhabi,United Arab Emirates,86,0,0,9,44.7,0,95,44.7,0,1985,6
Jun-85,Melbourne,Amsterdam,Netherlands,429,35.739,0.013,670,7.377,3.023,1099,43.116,3.036,1985,6
Jun-85,Melbourne,Athens,Greece,1536,44.698,1.411,2508,3.156,1.744,4044,47.854,3.155,1985,6
Jun-85,Melbourne,Auckland,New Zealand,5869,353.564,1.127,5303,290.502,6.14,11172,644.066,7.267,1985,6
Jun-85,Melbourne,Bahrain,Bahrain,47,0.053,0,21,60.398,1.247,68,60.451,1.247,1985,6
Jun-85,Melbourne,Bangkok,Thailand,1856,94.584,0.023,2555,99.795,0.367,4411,194.379,0.39,1985,6
Jun-85,Melbourne,Beijing,China,113,5.824,0,151,0.872,0,264,6.696,0,1985,6
Jun-85,Melbourne,Belgrade,Yugoslavia,771,62.074,0,1192,0.875,0.143,1963,62.949,0.143,1985,6
Jun-85,Melbourne,Bombay,India,116,2.986,0.588,74,0.508,0.428,190,3.494,1.016,1985,6
Jun-85,Melbourne,Christchurch,New Zealand,2426,125.701,0.652,1685,128.091,1.193,4111,253.792,1.845,1985,6
Jun-85,Melbourne,Colombo,Sri Lanka,174,0.526,0,80,3.625,0,254,4.151,0,1985,6
Jun-85,Melbourne,Denpasar,Indonesia,2875,2.155,0,2392,3.666,0,5267,5.821,0,1985,6
Jun-85,Melbourne,Dubai,United Arab Emirates,8,0.073,0,27,166.912,0,35,166.985,0,1985,6
Jun-85,Melbourne,Frankfurt,Germany,784,562.155,2.988,1062,88.035,4.709,1846,650.19,7.697,1985,6
Jun-85,Melbourne,Hong Kong,Hong Kong,5556,175.98,0.279,3619,376.337,4.972,9175,552.317,5.251,1985,6
Jun-85,Melbourne,Honolulu,USA,1587,14.431,0,1670,75.032,0.222,3257,89.463,0.222,1985,6
Jun-85,Melbourne,Houston,USA,11,0,0,0,0,0,11,0,0,1985,6
Jun-85,Melbourne,Jakarta,Indonesia,175,118.665,0.046,1061,77.475,0.455,1236,196.14,0.501,1985,6
Jun-85,Melbourne,Kuala Lumpur,Malaysia,1624,131.391,1.269,2363,156.98,0.109,3987,288.371,1.378,1985,6
Jun-85,Melbourne,Larnaca,Cyprus,0,0,0,11,0,0,11,0,0,1985,6
Jun-85,Melbourne,Ljubljana,Yugoslavia,0,0,0,112,0,0,112,0,0,1985,6
Jun-85,Melbourne,London,UK,2243,195.934,0.686,3203,34.42,15.959,5446,230.354,16.645,1985,6
Jun-85,Melbourne,Los Angeles,USA,1979,254.539,0.084,2161,101.448,0,4140,355.987,0.084,1985,6
Jun-85,Melbourne,Manchester,UK,177,15.752,0.703,273,0.365,0,450,16.117,0.703,1985,6
Jun-85,Melbourne,Manila,Philippines,1359,111.96,0,1719,40.843,0.116,3078,152.803,0.116,1985,6
Jun-85,Melbourne,Muscat,Oman,10,0,0,190,34.2,0,200,34.2,0,1985,6
Jun-85,Melbourne,Nadi,Fiji,1919,9.43,0.115,1721,63.449,0.968,3640,72.879,1.083,1985,6
Jun-85,Melbourne,Nauru,Nauru,41,0.806,0,50,15.036,0,91,15.842,0,1985,6
Jun-85,Melbourne,New York,USA,10,0,0,0,0,0,10,0,0,1985,6
Jun-85,Melbourne,Papeete,Tahiti,167,0,0,143,83.927,0,310,83.927,0,1985,6
Jun-85,Melbourne,Rome,Italy,680,45.937,1.087,2362,29.573,1.427,3042,75.51,2.514,1985,6
Jun-85,Melbourne,San Francisco,USA,1059,68.226,1.819,905,84.604,16.907,1964,152.83,18.726,1985,6
Jun-85,Melbourne,Singapore,Singapore,6082,260.67,1.792,6608,629.695,2.957,12690,890.365,4.749,1985,6
Jun-85,Melbourne,Tokyo,Japan,294,62.187,4.904,283,34.509,1.181,577,96.696,6.085,1985,6
Jun-85,Melbourne,Vancouver,Canada,135,0.046,0,137,2.14,1.254,272,2.186,1.254,1985,6
Jun-85,Melbourne,Wellington,New Zealand,896,44.078,0.472,803,36.716,2.282,1699,80.794,2.754,1985,6
Jun-85,Melbourne,Zagreb,Yugoslavia,0,0,0,117,0,0,117,0,0,1985,6
Jun-85,Norfolk Island,Auckland,New Zealand,611,9.615,0.5,618,1.141,0.255,1229,10.756,0.755,1985,6
Jun-85,Perth,Auckland,New Zealand,2459,110.965,0,1589,9.692,0,4048,120.657,0,1985,6
Jun-85,Perth,Bahrain,Bahrain,25,0.044,0,14,38.363,0,39,38.407,0,1985,6
Jun-85,Perth,Bangkok,Thailand,796,23.467,0,745,11.363,0.071,1541,34.83,0.071,1985,6
Jun-85,Perth,Belgrade,Yugoslavia,0,0,0,149,0,0,149,0,0,1985,6
Jun-85,Perth,Bombay,India,359,5.507,0,355,0.31,0.17,714,5.817,0.17,1985,6
Jun-85,Perth,Denpasar,Indonesia,2529,4.131,0,2885,7.615,0.085,5414,11.746,0.085,1985,6
Jun-85,Perth,Frankfurt,Germany,102,0.2,0,61,0.11,0.476,163,0.31,0.476,1985,6
Jun-85,Perth,Harare,Zimbabwe,233,1.13,0.005,209,1.476,0.123,442,2.606,0.128,1985,6
Jun-85,Perth,Hong Kong,Hong Kong,2021,15.795,0,1750,140.054,0.124,3771,155.849,0.124,1985,6
Jun-85,Perth,Honolulu,USA,0,0,0,57,0,0.002,57,0,0.002,1985,6
Jun-85,Perth,Jakarta,Indonesia,516,17.964,0,499,56.994,0,1015,74.958,0,1985,6
Jun-85,Perth,Johannesburg,South Africa,290,2.07,0,442,12.064,0,732,14.134,0,1985,6
Jun-85,Perth,Kuala Lumpur,Malaysia,1454,78.292,0.155,1974,167.304,0.109,3428,245.596,0.264,1985,6
Jun-85,Perth,London,UK,2073,17.402,3.228,2692,8.842,3.499,4765,26.244,6.727,1985,6
Jun-85,Perth,Mauritius,Mauritius,79,0.324,0,95,0.01,0,174,0.334,0,1985,6
Jun-85,Perth,Muscat,Oman,8,0,0,10,1.2,0,18,1.2,0,1985,6
Jun-85,Perth,Rome,Italy,183,0.028,0,479,0.069,0.281,662,0.097,0.281,1985,6
Jun-85,Perth,San Francisco,USA,0,0,0,83,0.027,1.155,83,0.027,1.155,1985,6
Jun-85,Perth,Singapore,Singapore,6358,200.471,1.556,6714,634.999,0.593,13072,835.47,2.149,1985,6
Jun-85,Perth,Tokyo,Japan,22,1.188,0,13,33.771,0.128,35,34.959,0.128,1985,6
Jun-85,Port Hedland,Denpasar,Indonesia,201,0,0,144,0,0,345,0,0,1985,6
Jun-85,Sydney,Abu Dhabi,United Arab Emirates,212,0,0,216,71.7,0,428,71.7,0,1985,6
Jun-85,Sydney,Amsterdam,Netherlands,527,54.815,0.041,589,3.227,2.695,1116,58.042,2.736,1985,6
Jun-85,Sydney,Apia,Western Samoa,49,0.014,0,258,1.316,0,307,1.33,0,1985,6
Jun-85,Sydney,Athens,Greece,1626,81.879,1.11,2848,6.047,1.49,4474,87.926,2.6,1985,6
Jun-85,Sydney,Auckland,New Zealand,19416,1164.095,14.704,21276,928.896,35.397,40692,2092.991,50.101,1985,6
Jun-85,Sydney,Bahrain,Bahrain,116,1.317,0.429,70,17.121,1.555,186,18.438,1.984,1985,6
Jun-85,Sydney,Bangkok,Thailand,2816,154.367,0.513,2608,57.926,1.334,5424,212.293,1.847,1985,6
Jun-85,Sydney,Beijing,China,468,8.484,0.149,469,5.844,0.005,937,14.328,0.154,1985,6
Jun-85,Sydney,Belgrade,Yugoslavia,950,57.73,0.498,1454,5.919,0.088,2404,63.649,0.586,1985,6
Jun-85,Sydney,Bombay,India,833,36.855,0.585,840,14.173,1.114,1673,51.028,1.699,1985,6
Jun-85,Sydney,Christchurch,New Zealand,4505,193.064,0.811,4385,131.339,1.481,8890,324.403,2.292,1985,6
Jun-85,Sydney,Colombo,Sri Lanka,86,0.614,0,119,2.558,0,205,3.172,0,1985,6
Jun-85,Sydney,Denpasar,Indonesia,2196,66.044,0,2797,1.743,0.038,4993,67.787,0.038,1985,6
Jun-85,Sydney,Dubai,United Arab Emirates,52,10.529,0,48,67.664,0,100,78.193,0,1985,6
Jun-85,Sydney,Frankfurt,Germany,928,155.555,3.294,1191,62.02,6.451,2119,217.575,9.745,1985,6
Jun-85,Sydney,Guangzhou,China,38,0.35,0,46,1.668,0,84,2.018,0,1985,6
Jun-85,Sydney,Harare,Zimbabwe,400,8.752,0.314,337,14.042,0.231,737,22.794,0.545,1985,6
Jun-85,Sydney,Hong Kong,Hong Kong,8405,269.282,1.225,5637,442.359,5.356,14042,711.641,6.581,1985,6
Jun-85,Sydney,Honolulu,USA,5381,77.444,0,4987,91.789,0.827,10368,169.233,0.827,1985,6
Jun-85,Sydney,Houston,USA,49,0,0,0,0,0,49,0,0,1985,6
Jun-85,Sydney,Jakarta,Indonesia,2123,147.566,0.444,1955,70.249,0.73,4078,217.815,1.174,1985,6
Jun-85,Sydney,Johannesburg,South Africa,797,29.818,0,822,16.597,0,1619,46.415,0,1985,6
Jun-85,Sydney,Kuala Lumpur,Malaysia,1469,125.964,1.72,1854,149.976,0.669,3323,275.94,2.389,1985,6
Jun-85,Sydney,Larnaca,Cyprus,0,0,0,30,0,0,30,0,0,1985,6
Jun-85,Sydney,Ljubljana,Yugoslavia,0,0,0,82,0,0,82,0,0,1985,6
Jun-85,Sydney,London,UK,4259,556.485,0.897,5884,83.294,21.399,10143,639.779,22.296,1985,6
Jun-85,Sydney,Los Angeles,USA,5130,1072.639,0.512,5877,312.253,0.292,11007,1384.892,0.804,1985,6
Jun-85,Sydney,Manchester,UK,369,18.824,0.805,429,0.852,0.234,798,19.676,1.039,1985,6
Jun-85,Sydney,Manila,Philippines,2532,224.61,0.246,2206,95.255,0.84,4738,319.865,1.086,1985,6
Jun-85,Sydney,Mauritius,Mauritius,214,10.018,0,204,1.357,0,418,11.375,0,1985,6
Jun-85,Sydney,Muscat,Oman,61,9.2,0,113,16.2,0,174,25.4,0,1985,6
Jun-85,Sydney,Nadi,Fiji,4709,35.625,0,4571,210.831,0,9280,246.456,0,1985,6
Jun-85,Sydney,Nauru,Nauru,59,0.074,0,28,1.065,0,87,1.139,0,1985,6
Jun-85,Sydney,New York,USA,138,1.874,0,0,0,0,138,1.874,0,1985,6
Jun-85,Sydney,Noumea,New Caledonia,870,40.195,0.343,1125,109.944,0.474,1995,150.139,0.817,1985,6
Jun-85,Sydney,Papeete,Tahiti,1208,34.323,0.165,1384,27.027,1.164,2592,61.35,1.329,1985,6
Jun-85,Sydney,Paris,France,336,1.016,0,137,37.718,0,473,38.734,0,1985,6
Jun-85,Sydney,Port Moresby,Papua New Guinea,1428,29.982,2.782,1433,110.324,14.403,2861,140.306,17.185,1985,6
Jun-85,Sydney,Port Vila,Vanuatu,933,2.057,0,735,8.867,0,1668,10.924,0,1985,6
Jun-85,Sydney,Rome,Italy,1241,90.424,2.382,2131,12.145,1.24,3372,102.569,3.622,1985,6
Jun-85,Sydney,San Francisco,USA,2398,180.361,0.535,2313,123.164,24.589,4711,303.525,25.124,1985,6
Jun-85,Sydney,Singapore,Singapore,9339,410.278,4.945,10774,544.012,5.638,20113,954.29,10.583,1985,6
Jun-85,Sydney,Tokyo,Japan,6169,463.068,23.773,6796,546.535,8.027,12965,1009.603,31.8,1985,6
Jun-85,Sydney,Vancouver,Canada,1019,38.526,0,1932,98.352,1.204,2951,136.878,1.204,1985,6
Jun-85,Sydney,Wellington,New Zealand,2916,127.559,3.9,2586,105.755,6.354,5502,233.314,10.254,1985,6
Jun-85,Sydney,Zagreb,Yugoslavia,0,0,0,64,0,0,64,0,0,1985,6
Jun-85,Townsville,Auckland,New Zealand,825,9.613,0,650,4.372,0,1475,13.985,0,1985,6
Jun-85,Townsville,Frankfurt,Germany,0,0,0,35,0,0,35,0,0,1985,6
Jun-85,Townsville,London,UK,146,0,0,136,0.004,0,282,0.004,0,1985,6
Jun-85,Townsville,Rome,Italy,0,0,0,64,0,0,64,0,0,1985,6
Jun-85,Townsville,Singapore,Singapore,328,0.848,0,323,3.185,0,651,4.033,0,1985,6
Jul-85,Adelaide,Abu Dhabi,United Arab Emirates,8,0,0,0,0,0,8,0,0,1985,7
Jul-85,Adelaide,Auckland,New Zealand,746,45.544,0.254,557,43.89,1.088,1303,89.434,1.342,1985,7
Jul-85,Adelaide,Bahrain,Bahrain,2,0,0,8,0,0,10,0,0,1985,7
Jul-85,Adelaide,Bombay,India,0,0,0,8,0,0,8,0,0,1985,7
Jul-85,Adelaide,Frankfurt,Germany,0,0,0,49,0,0.303,49,0,0.303,1985,7
Jul-85,Adelaide,London,UK,1209,4.099,0,1300,24.87,1.812,2509,28.969,1.812,1985,7
Jul-85,Adelaide,Muscat,Oman,0,0,0,17,0.3,0,17,0.3,0,1985,7
Jul-85,Adelaide,Rome,Italy,0,0,0,162,0,0,162,0,0,1985,7
Jul-85,Adelaide,Singapore,Singapore,1886,63.746,0,1665,95.038,0.164,3551,158.784,0.164,1985,7
Jul-85,Brisbane,Abu Dhabi,United Arab Emirates,0,0,0,2,13.6,0,2,13.6,0,1985,7
Jul-85,Brisbane,Auckland,New Zealand,7122,168.762,1.069,6076,80.32,3.431,13198,249.082,4.5,1985,7
Jul-85,Brisbane,Bahrain,Bahrain,9,0,0,12,0.059,0,21,0.059,0,1985,7
Jul-85,Brisbane,Bangkok,Thailand,675,6.761,0,693,16.111,0,1368,22.872,0,1985,7
Jul-85,Brisbane,Bombay,India,10,0,0,7,0.473,0.101,17,0.473,0.101,1985,7
Jul-85,Brisbane,Christchurch,New Zealand,3141,86.726,0.257,2443,23.016,0,5584,109.742,0.257,1985,7
Jul-85,Brisbane,Frankfurt,Germany,163,0,0,87,0.157,0.766,250,0.157,0.766,1985,7
Jul-85,Brisbane,Hong Kong,Hong Kong,1785,9.29,0,843,68.458,0.045,2628,77.748,0.045,1985,7
Jul-85,Brisbane,Honiara,Solomon Islands,542,1.998,0,512,12.409,0,1054,14.407,0,1985,7
Jul-85,Brisbane,Honolulu,USA,380,2.976,0,355,2.293,0,735,5.269,0,1985,7
Jul-85,Brisbane,London,UK,2024,15.26,0,1858,2.571,3.867,3882,17.831,3.867,1985,7
Jul-85,Brisbane,Los Angeles,USA,145,3.868,0,0,0,0,145,3.868,0,1985,7
Jul-85,Brisbane,Manila,Philippines,825,6.373,0,647,17.866,0.193,1472,24.239,0.193,1985,7
Jul-85,Brisbane,Muscat,Oman,2,0.2,0,0,2.4,0,2,2.6,0,1985,7
Jul-85,Brisbane,Nadi,Fiji,1097,0.64,0,995,4.713,0,2092,5.353,0,1985,7
Jul-85,Brisbane,Noumea,New Caledonia,183,0.025,0,114,4.577,0,297,4.602,0,1985,7
Jul-85,Brisbane,Port Moresby,Papua New Guinea,1917,7.464,0.587,1651,59.981,4.807,3568,67.445,5.394,1985,7
Jul-85,Brisbane,Port Vila,Vanuatu,288,0.292,0.076,319,3.739,0,607,4.031,0.076,1985,7
Jul-85,Brisbane,Rome,Italy,113,0.035,0,76,1.384,0.114,189,1.419,0.114,1985,7
Jul-85,Brisbane,San Francisco,USA,586,0.05,0,364,10.387,1.536,950,10.437,1.536,1985,7
Jul-85,Brisbane,Singapore,Singapore,2162,72.207,0,1874,192.554,0.32,4036,264.761,0.32,1985,7
Jul-85,Brisbane,Suva,Fiji,88,0.36,0,41,0.952,0,129,1.312,0,1985,7
